é¿éøãGêﬂí≤êÆånóÒ(ëOä˙î‰),,,,,,,,,,,,,,,,(íPà :Åì)
"Real, Seasonally Adjusted Series (Quarter-to-Quarter Percent Change)",,,,,,,,,,,,,,,,(%)
,â∆åvç≈èIè¡îÔéxèoÅiçƒåfÅj,,,,,,,,,ç‡â›ÅEÉTÅ[ÉrÉX,,,,,,
7- 9.,1.6 ,2.1 ,6.2 ,1.6 ,8.1 ,1.6 ,2.7 ,0.2 ,,***,2.7 ,2.2 ,6.0 ,1.9 ,2.3 ,0.2 
10-12.,-1.6 ,-3.1 ,-7.6 ,-1.6 ,-2.1 ,-0.6 ,-4.9 ,-0.1 ,,***,0.4 ,0.7 ,-1.6 ,0.7 ,1.0 ,-0.2 
2011/ 1- 3.,-2.2 ,-2.8 ,-10.6 ,-2.2 ,-10.2 ,-1.3 ,-0.8 ,-1.9 ,,***,-0.9 ,-1.3 ,1.7 ,1.1 ,1.0 ,1.6 
4- 6.,1.1 ,-11.3 ,-47.7 ,1.1 ,6.7 ,1.8 ,0.5 ,0.5 ,,***,-7.5 ,-7.4 ,-7.7 ,-0.4 ,1.2 ,-7.1 
7- 9.,1.0 ,8.9 ,48.7 ,1.0 ,-1.4 ,2.4 ,1.0 ,1.2 ,,***,9.3 ,10.7 ,1.5 ,3.3 ,2.7 ,6.0 
10-12.,1.0 ,3.3 ,22.5 ,1.1 ,9.3 ,1.1 ,-0.6 ,0.8 ,,***,-2.5 ,-3.0 ,0.4 ,1.9 ,2.1 ,1.1 
2012/ 1- 3.,0.2 ,2.7 ,11.7 ,0.2 ,-2.5 ,-0.1 ,1.3 ,0.2 ,,***,3.1 ,2.8 ,4.9 ,1.6 ,1.4 ,2.4 
4- 6.,0.2 ,4.8 ,4.7 ,0.2 ,3.9 ,1.0 ,-0.6 ,0.0 ,,***,-0.9 ,0.3 ,-8.1 ,2.2 ,1.7 ,4.6 
7- 9.,0.1 ,-5.4 ,1.5 ,0.2 ,0.3 ,0.6 ,-0.2 ,0.2 ,,***,-3.7 ,-3.9 ,-2.0 ,-0.3 ,-0.7 ,1.9 
10-12.,0.5 ,-8.7 ,-5.9 ,0.5 ,-8.7 ,1.6 ,2.9 ,0.5 ,,***,-3.4 ,-4.5 ,3.8 ,-2.5 ,-2.7 ,-1.4 
2013/ 1- 3.,1.6 ,-9.8 ,15.5 ,1.7 ,9.7 ,8.3 ,-0.3 ,1.1 ,,***,3.2 ,2.3 ,8.6 ,0.5 ,0.4 ,1.0 
4- 6.,0.7 ,-11.4 ,12.0 ,0.8 ,0.3 ,3.3 ,0.8 ,0.6 ,,***,3.4 ,3.4 ,3.1 ,3.3 ,4.3 ,-1.6 
7- 9.,0.5 ,-3.8 ,8.5 ,0.5 ,3.2 ,1.9 ,-0.8 ,0.7 ,,***,-0.1 ,-0.2 ,0.1 ,1.9 ,1.9 ,1.9 
10-12.,-0.2 ,-0.9 ,8.9 ,-0.2 ,0.7 ,-0.1 ,-0.5 ,-0.1 ,,***,-0.4 ,-0.2 ,-1.7 ,3.0 ,3.0 ,2.7 
2014/ 1- 3.,2.2 ,-3.9 ,1.4 ,2.2 ,12.4 ,4.9 ,1.7 ,0.9 ,,***,6.1 ,3.9 ,18.4 ,6.2 ,5.3 ,10.5 
4- 6.,-4.5 ,-4.2 ,13.1 ,-4.4 ,-15.9 ,-9.2 ,-6.5 ,-1.3 ,,***,1.5 ,0.4 ,6.5 ,-3.9 ,-5.1 ,1.7 
7- 9.,0.8 ,-4.1 ,5.2 ,0.9 ,-1.7 ,4.5 ,1.9 ,0.3 ,,***,1.5 ,1.6 ,1.0 ,1.5 ,1.2 ,2.8 
10-12.,0.2 ,-6.3 ,23.4 ,0.4 ,3.1 ,0.8 ,0.4 ,-0.0 ,,***,3.0 ,2.7 ,4.5 ,0.6 ,1.1 ,-1.2 
2015/ 1- 3.,0.6 ,-3.1 ,12.5 ,0.7 ,-0.1 ,2.6 ,0.7 ,0.6 ,,***,1.4 ,1.8 ,-0.1 ,0.5 ,-0.4 ,4.4 
4- 6.,-0.1 ,-2.3 ,9.9 ,0.0 ,-1.0 ,-0.3 ,-1.3 ,0.8 ,,***,-3.3 ,-5.2 ,5.6 ,-1.9 ,-2.1 ,-1.0 
7- 9.,0.3 ,-1.4 ,9.0 ,0.4 ,-0.7 ,-0.0 ,1.5 ,0.0 ,,***,2.5 ,1.8 ,5.5 ,2.7 ,3.6 ,-1.0 
10-12.,-0.6 ,4.9 ,2.9 ,-0.6 ,-7.2 ,-2.2 ,-0.7 ,0.4 ,,***,-1.1 ,-1.5 ,0.3 ,-0.4 ,-1.8 ,5.4 
2016/ 1- 3.,0.1 ,4.9 ,5.2 ,0.1 ,6.4 ,-3.1 ,0.4 ,-0.4 ,,***,0.7 ,0.4 ,2.2 ,-1.4 ,-0.0 ,-6.2 
4- 6.,-0.8 ,7.8 ,-9.3 ,-1.0 ,-1.4 ,-2.8 ,-1.3 ,-0.6 ,,***,-0.6 ,-0.2 ,-2.0 ,-1.1 ,-2.1 ,2.6 
7- 9.,0.4 ,5.4 ,15.4 ,0.5 ,4.8 ,-1.2 ,0.3 ,0.3 ,,***,2.2 ,2.3 ,1.6 ,0.4 ,0.0 ,1.6 
10-12.,0.1 ,-1.0 ,-7.4 ,0.0 ,-1.4 ,-0.6 ,0.2 ,0.2 ,,***,2.2 ,2.2 ,2.5 ,1.4 ,0.2 ,5.7 
2017/ 1- 3.,0.3 ,-2.2 ,8.4 ,0.4 ,3.7 ,2.9 ,-0.4 ,0.1 ,,***,2.3 ,2.7 ,0.7 ,1.1 ,2.3 ,-2.8 
4- 6.,0.6 ,-5.3 ,1.7 ,0.7 ,-0.1 ,0.2 ,1.1 ,0.6 ,,***,0.0 ,-0.5 ,2.1 ,1.1 ,1.8 ,-1.2 
7- 9.,-0.4 ,-1.4 ,10.3 ,-0.2 ,-1.4 ,-0.3 ,-0.0 ,-0.2 ,,***,2.5 ,2.6 ,2.2 ,-0.8 ,-1.5 ,1.6 
10-12.,0.4 ,-1.3 ,2.0 ,0.4 ,3.1 ,0.5 ,1.0 ,-0.2 ,,***,1.1 ,0.8 ,2.3 ,2.9 ,3.4 ,1.3 
2018/ 1- 3.,-0.3 ,3.8 ,9.0 ,-0.2 ,-2.1 ,-0.1 ,-0.6 ,0.2 ,,***,1.7 ,2.2 ,-0.3 ,0.7 ,1.2 ,-1.1 
4- 6.,0.1 ,0.6 ,3.2 ,0.1 ,1.5 ,0.2 ,-0.6 ,0.3 ,,***,0.8 ,1.4 ,-1.6 ,0.2 ,-0.7 ,3.5 
7- 9.,0.2 ,3.0 ,-4.2 ,0.1 ,0.6 ,1.1 ,0.6 ,-0.3 ,,***,-1.4 ,-1.7 ,-0.0 ,-0.7 ,0.3 ,-4.0 
10-12.,-0.0 ,4.7 ,9.1 ,0.1 ,3.4 ,0.1 ,-2.1 ,0.7 ,,***,0.3 ,0.6 ,-0.9 ,4.9 ,5.2 ,3.9 
2019/ 1- 3.,-0.4 ,2.5 ,-1.0 ,-0.5 ,-4.1 ,-0.8 ,0.4 ,-0.3 ,,***,-1.2 ,-2.8 ,5.4 ,-3.5 ,-5.7 ,4.9 
4- 6.,-0.1 ,0.1 ,6.9 ,-0.0 ,4.3 ,-0.9 ,0.4 ,-0.6 ,,***,0.4 ,-0.0 ,1.9 ,1.3 ,1.5 ,0.7 
7- 9.,0.7 ,3.7 ,-7.2 ,0.5 ,4.9 ,3.3 ,0.0 ,-0.1 ,,***,0.5 ,1.2 ,-1.8 ,2.0 ,1.3 ,4.5 
10-12.,-3.8 ,-0.8 ,3.7 ,-3.7 ,-14.2 ,-9.0 ,-2.0 ,-2.5 ,,***,-2.0 ,-2.4 ,-0.2 ,-2.0 ,-1.5 ,-3.8 
2020/ 1- 3.,0.1 ,-32.7 ,-42.3 ,-0.4 ,-2.2 ,3.7 ,4.3 ,-2.7 ,,***,-3.7 ,-1.5 ,-11.5 ,-3.8 ,-4.6 ,-1.2 
4- 6.,-8.0 ,-79.3 ,-81.1 ,-8.4 ,-8.1 ,-12.7 ,0.5 ,-12.3 ,,***,-17.7 ,-18.8 ,-13.5 ,-0.8 ,0.8 ,-6.1 
7- 9.,5.3 ,-6.9 ,6.8 ,5.3 ,8.5 ,13.7 ,-0.8 ,7.4 ,,***,9.6 ,13.6 ,-4.6 ,-7.5 ,-8.1 ,-5.1 
10-12.,1.8 ,11.0 ,-3.1 ,1.8 ,6.9 ,1.1 ,-0.2 ,2.3 ,,***,8.6 ,10.1 ,1.8 ,5.8 ,7.6 ,0.2 
2021/ 1- 3.,-0.6 ,-0.9 ,-5.1 ,-0.6 ,0.3 ,0.2 ,-0.7 ,-0.7 ,,***,4.5 ,4.1 ,6.4 ,2.0 ,2.5 ,0.5 
4- 6.,0.7 ,-1.4 ,-3.8 ,0.7 ,0.0 ,1.3 ,0.5 ,0.9 ,,***,2.5 ,2.8 ,0.8 ,4.8 ,3.1 ,10.7 
7- 9.,-0.9 ,-3.6 ,15.7 ,-0.9 ,-12.2 ,-2.9 ,0.1 ,0.4 ,,***,-0.8 ,-1.2 ,1.4 ,-2.2 ,-1.6 ,-4.0 
10-12.,3.1 ,2.4 ,-11.6 ,3.1 ,4.9 ,9.9 ,-0.8 ,4.0 ,,***,-0.5 ,-0.3 ,-1.6 ,0.3 ,0.3 ,0.5 
2022/ 1- 3.,-0.9 ,11.7 ,-7.9 ,-0.9 ,2.0 ,-3.4 ,-1.7 ,-0.5 ,,***,3.8 ,4.5 ,0.2 ,4.0 ,4.4 ,2.4 
4- 6.,1.6 ,21.7 ,-2.2 ,1.5 ,-0.9 ,3.3 ,0.0 ,2.3 ,,***,0.7 ,-0.3 ,5.8 ,1.6 ,2.1 ,-0.3 
7- 9.,0.0 ,29.5 ,26.5 ,0.0 ,0.7 ,3.6 ,-0.9 ,-0.1 ,,***,1.9 ,1.0 ,6.0 ,4.7 ,1.3 ,17.7 
10-12.,0.3 ,14.4 ,299.3 ,0.8 ,0.6 ,1.3 ,-0.7 ,1.5 ,,***,0.9 ,-0.2 ,5.3 ,-0.2 ,1.1 ,-4.4 
2023/ 1- 3.,0.6 ,45.4 ,57.8 ,0.9 ,9.5 ,1.1 ,1.6 ,-0.5 ,,***,-1.1 ,-3.6 ,9.0 ,-1.8 ,-3.2 ,4.4 
4- 6.,-1.0 ,10.4 ,23.3 ,-0.8 ,-3.7 ,2.9 ,-3.0 ,0.2 ,,***,1.5 ,1.0 ,3.4 ,-3.3 ,-4.1 ,-0.2 
7- 9.,-0.8 ,20.1 ,17.3 ,-0.6 ,-0.6 ,-4.4 ,-0.9 ,0.1 ,,***,1.4 ,0.1 ,6.2 ,1.3 ,-0.5 ,7.7 
10-12.,0.0 ,-0.8 ,14.4 ,0.3 ,4.7 ,0.4 ,-0.6 ,0.1 ,,***,2.5 ,0.4 ,9.8 ,2.8 ,4.2 ,-2.0 
2024/ 1- 3.,-0.2 ,6.9 ,7.8 ,-0.0 ,-7.2 ,-0.7 ,0.3 ,0.8 ,,***,-3.0 ,-2.6 ,-4.2 ,-3.6 ,-5.4 ,2.7 
4- 6.,-0.0 ,-3.5 ,15.3 ,0.3 ,4.3 ,-0.6 ,1.0 ,-0.4 ,,***,0.8 ,-0.6 ,5.2 ,3.4 ,2.5 ,6.0 
7- 9.,0.6 ,11.5 ,-1.1 ,0.5 ,5.5 ,-1.0 ,0.4 ,0.0 ,,***,2.5 ,3.0 ,1.0 ,2.9 ,3.6 ,0.8 
10-12.,0.0 ,1.9 ,5.6 ,0.1 ,3.4 ,0.2 ,0.3 ,-0.4 ,,***,1.6 ,0.3 ,5.6 ,-2.0 ,-2.6 ,-0.1 
2025/ 1- 3.,0.6 ,6.5 ,2.9 ,0.6 ,0.7 ,4.2 ,-0.1 ,0.6 ,,***,-0.7 ,-0.5 ,-1.4 ,2.0 ,1.9 ,2.4 
4- 6.,0.1 ,25.7 ,5.9 ,0.1 ,0.2 ,-0.6 ,-0.4 ,0.4 ,,***,1.6 ,1.9 ,0.9 ,1.8 ,2.0 ,1.0 
7- 9.,0.5 ,4.9 ,-11.2 ,0.2 ,-0.8 ,2.3 ,-0.1 ,0.2 ,,***,-1.4 ,-0.8 ,-2.9 ,-0.6 ,-1.0 ,0.6 
10-12.,0.1 ,-5.4 ,12.8 ,0.4 ,1.8 ,0.6 ,-0.3 ,0.5 ,,***,0.1 ,-0.8 ,3.0 ,-0.1 ,-0.7 ,1.6 
2026/ 1- 3.,0.4 ,-3.1 ,-5.2 ,0.3 ,-0.6 ,1.4 ,0.6 ,0.2 ,,***,1.7 ,1.8 ,1.5 ,0.3 ,0.3 ,0.3 
4- 6.,-0.1 ,-3.5 ,-9.7 ,-0.3 ,2.8 ,1.1 ,-1.8 ,-0.1 ,,***,0.5 ,-1.0 ,4.9 ,-1.5 ,-1.6 ,-1.4 
,,,,,,,,,,,,,,,,
