value_id,value,unit,evidence_status,source_id,source_file,source_sha256,source_url,source_locator,extraction_method,derived_artifact,claim_ids,note
births_2023,727288,persons,RAW_OFFICIAL,MHLW-VITAL-2024-T1,data/raw/mhlw/2024_vital_table1.pdf,d89fd0b59195c2d6943306485472ae553a6cf1a92dd0236c6d93a5a18a545ecc,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf,Table 1; previous-year births; 2023,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,All births treated adversarially
births_2024,686173,persons,RAW_OFFICIAL,MHLW-VITAL-2024-T1,data/raw/mhlw/2024_vital_table1.pdf,d89fd0b59195c2d6943306485472ae553a6cf1a92dd0236c6d93a5a18a545ecc,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf,Table 1; births; 2024,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,All births treated adversarially
international_inflow_2020,358359,persons,RAW_OFFICIAL,STAT-MIGRATION-2024,data/raw/statistics_bureau/2024_basic_resident_register_migration_summary.pdf,762eae1edcef3d6d880be6cd76836910ff68cd7736dec3a568e0089ce0abcbce,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,Table 1; immigrants from abroad; 2020,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,Full-year count deliberately over-includes pre-Census entrants
international_inflow_2021,209700,persons,RAW_OFFICIAL,STAT-MIGRATION-2024,data/raw/statistics_bureau/2024_basic_resident_register_migration_summary.pdf,762eae1edcef3d6d880be6cd76836910ff68cd7736dec3a568e0089ce0abcbce,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,Table 1; immigrants from abroad; 2021,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,"Gross inflow, not net migration"
international_inflow_2022,639124,persons,RAW_OFFICIAL,STAT-MIGRATION-2024,data/raw/statistics_bureau/2024_basic_resident_register_migration_summary.pdf,762eae1edcef3d6d880be6cd76836910ff68cd7736dec3a568e0089ce0abcbce,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,Table 1; immigrants from abroad; 2022,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,"Gross inflow, not net migration"
international_inflow_2023,700138,persons,RAW_OFFICIAL,STAT-MIGRATION-2024,data/raw/statistics_bureau/2024_basic_resident_register_migration_summary.pdf,762eae1edcef3d6d880be6cd76836910ff68cd7736dec3a568e0089ce0abcbce,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,Table 1; immigrants from abroad; 2023,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,"Gross inflow, not net migration"
international_inflow_2024,735883,persons,RAW_OFFICIAL,STAT-MIGRATION-2024,data/raw/statistics_bureau/2024_basic_resident_register_migration_summary.pdf,762eae1edcef3d6d880be6cd76836910ff68cd7736dec3a568e0089ce0abcbce,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,Table 1; immigrants from abroad; 2024,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,"Gross inflow, not net migration"
deaths_2024,1605378,persons,RAW_OFFICIAL,MHLW-VITAL-2024-T1,data/raw/mhlw/2024_vital_table1.pdf,d89fd0b59195c2d6943306485472ae553a6cf1a92dd0236c6d93a5a18a545ecc,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf,Table 1; deaths; 2024,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,Extreme allowance: every death can reduce overlap / represent quasi-final timing mismatch
threshold_score_power_0p5,0.8271,share,RECOVERY_ONLY,RECOVERY-V6-2026-09-08,data/recovery/v6_recovered_values.csv,6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae,,recovered V6 artifact; generating source chain not restored,recovered_value_transcription,research/stage1_filing_bound/inputs.csv,P1-C09,Recovered V6 stage-1 diagnostic; generating source chain not restored
threshold_score_power_1p0,0.2668,share,RECOVERY_ONLY,RECOVERY-V6-2026-09-08,data/recovery/v6_recovered_values.csv,6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae,,recovered V6 artifact; generating source chain not restored,recovered_value_transcription,research/stage1_filing_bound/inputs.csv,P1-C09,Recovered V6 stage-1 diagnostic; generating source chain not restored
threshold_score_power_2p0,0.0220,share,RECOVERY_ONLY,RECOVERY-V6-2026-09-08,data/recovery/v6_recovered_values.csv,6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae,,recovered V6 artifact; generating source chain not restored,recovered_value_transcription,research/stage1_filing_bound/inputs.csv,P1-C09,Recovered V6 stage-1 diagnostic; generating source chain not restored
