source_id,publisher,title,source_url,raw_file,media_type,locator,sha256,bytes,status
NTA-2024-RETURN-PRESS-T31,National Tax Agency,2024 final-return filing situation press release - Table 3-1 primary income category,https://www.nta.go.jp/topics/pdf/0025005-063.pdf,data/raw/nta/nta_2024_final_return_press_table31.pdf,application/pdf,PDF p.15 / printed p.14; Table 3-1; values displayed in thousand persons; note warns totals and components can differ due to rounding,54f30a1f26da7e93c42a0d5255ad3825d6df578321dd65fc9099d435698c4978,2648694,RAW_OFFICIAL
NTA-2024-SHINKOKU-SAMPLE,National Tax Agency,2024 Sample Survey for Self-Assessment Income Tax,https://www.nta.go.jp/publication/statistics/kokuzeicho/shinkokuhyohon2024/pdf/R06.pdf,data/raw/nta/nta_2024_shinkoku_sample_survey.pdf,application/pdf,target population: persons with positive self-assessed tax; five primary income categories; retained as frame-definition/cross-check source,fb5ba4e1c80e49ee3cb4c19c9ff14b80646d3e8071184e6677f71841199ab6e4,1306979,RAW_OFFICIAL
NTA-MINKAN-2024-T17,National Tax Agency,2024 Private Salary Survey Table 17 - deductions by salary class,https://www.nta.go.jp/publication/statistics/kokuzeicho/minkan2024/excel/R06_17.xlsx,data/raw/nta/nta_minkan2024_table17.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Table 17; sheets その1の1/その1の2/その2の1 (total); year-end-adjusted full-year employees,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,180713,RAW_OFFICIAL
NTA-INFO-EXCHANGE-2024,National Tax Agency,FY2024 status of information exchange under tax treaties,https://www.nta.go.jp/information/release/pdf/0026001-016.pdf,data/raw/nta/nta_fy2024_tax_treaty_information_exchange.pdf,application/pdf,Non-resident statutory-report information exchange count; scale diagnostic only,a3299656b33d37d30c541f7495c07f409218ae1d81f1e273ee0c3aa58e96faab,1701795,RAW_OFFICIAL
NTA-NONRESIDENT-GUIDANCE,National Tax Agency,Tax Answer No.1926 - non-residents with Japanese domestic-source income,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shotoku/1926.htm,data/raw/nta/nonresident_domestic_source_guidance.html,text/html,Legal/source-coverage audit; no person count extracted,49396b4da0f520ce391d964aa711c7d48e10badba9ff3e77abfd1e6590e1fd50,19908,RAW_OFFICIAL
NTA-2026-TAX-REFORM,National Tax Agency,April 2026 outline of withholding income-tax reform,https://www.nta.go.jp/publication/pamph/gensen/2026kaisei.pdf,data/raw/nta/nta_2026_withholding_tax_reform.pdf,application/pdf,p.1: 2026-2029 basic deduction and employment-income deduction special rules; p.2 onward related reforms,8db585cd5feef2eb29109a16a2e7b16054a0fa4d6423ac622d9ea12c54b39945,1632234,RAW_OFFICIAL
NTA-2026-INCOME-TAX,National Tax Agency,Income tax mechanism - 2026,https://www.nta.go.jp/publication/pamph/koho/kurashi/html/01_1.htm,data/raw/nta/nta_2026_income_tax_mechanism.html,text/html,2026 basic-deduction table and progressive income-tax rate table,4c7450ea67d9a33995916f6e29da8cf05810448b4694d81b83a5c213b1fa7a86,13902,RAW_OFFICIAL
NTA-SALARY-DEDUCTION-1410,National Tax Agency,Tax Answer No.1410 - employment income deduction,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shotoku/1410.htm,data/raw/nta/nta_income_tax_answer_1410_salary_deduction.html,text/html,standard employment-income deduction schedule; combined with 2026 special rule source for 2026-2029,1d7a7668e3430ce7f4f65409fd7f133b6c979bb5097ef203ca06cd802f85780e,29993,RAW_OFFICIAL
NTA-INCOME-TAX-RATE-2260,National Tax Agency,Tax Answer No.2260 - income tax rates,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shotoku/2260.htm,data/raw/nta/nta_income_tax_answer_2260_rates.html,text/html,ordinary national income-tax progressive quick table; rates unchanged for the 2026 ordinary schedule,b3c03d163fa7ee33870b3c96a9b07ba084c2fb25a56afe5ff75b7117808c2171,20221,RAW_OFFICIAL
NTA-2026-PENSION-TAX,National Tax Agency,Elderly people and tax (pensions) - 2026,https://www.nta.go.jp/publication/pamph/koho/kurashi/html/03_1.htm,data/raw/nta/nta_2026_pension_tax.html,text/html,2026 public-pension miscellaneous-income calculation table by age,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,12597,RAW_OFFICIAL
NTA-2026-PENSION-DETAIL,National Tax Agency,2026 withholding income-tax outline - public pension deduction detail,https://www.nta.go.jp/publication/pamph/gensen/aramashi2026/pdf/06.pdf,data/raw/nta/nta_2026_public_pension_deduction_detail.pdf,application/pdf,"public-pension deduction table by age, pension income, and non-pension income; 10m/20m other-income adjustments",d73b46f7b3e855cfd8016251bb699049ec721017e8693ea722cf72e001eb1e71,743850,RAW_OFFICIAL
NTA-2026-DEPENDENT-DEDUCTION,National Tax Agency,2026 withholding declaration instructions - dependent deduction amounts,https://www.nta.go.jp/taxes/tetsuzuki/shinsei/annai/gensen/pdf/2026bun_08.pdf,data/raw/nta/nta_2026_dependent_deduction_amounts.pdf,application/pdf,"dependent deduction amounts: general 380k, specified 630k, elderly 480k, co-resident elderly 580k; 2026 form instructions",430721c32e4d35a84a40670089f761ffacfb3b494c8050a982e43c4f516bce00,1759277,RAW_OFFICIAL
MHLW-VITAL-2020-PAGE,"Ministry of Health, Labour and Welfare",2020 Vital Statistics final landing page,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei20/index.html,data/raw/mhlw/2020_vital_statistics_final_page.html,text/html,Landing-page snapshot linking final tables,b2ce649d5b9205a68dc581239a21afa4e53cf6996b17a0d4d08c95813cf0bc1f,14199,RAW_OFFICIAL_METADATA
MHLW-VITAL-2020-T1,"Ministry of Health, Labour and Welfare",2020 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei20/dl/03_h1.pdf,data/raw/mhlw/2020_vital_table1.pdf,application/pdf,Table 1; births 2020,11ec14dd0530428debba27edaf27297fd34c3a1816536d3457927c09de3fba11,76735,RAW_OFFICIAL
MHLW-VITAL-2020-T2,"Ministry of Health, Labour and Welfare",2020 Vital Statistics final - Table 2-1 annual trend,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei20/dl/04_h2-1.pdf,data/raw/mhlw/2020_vital_trend_table2_1.pdf,application/pdf,Table 2-1 annual trend,a2f07182f8f654b587558e6d70f6b4f94aa3f0d1c873e726d8269ab82ddbfd7c,109885,RAW_OFFICIAL
MHLW-VITAL-2022-PAGE,"Ministry of Health, Labour and Welfare",2022 Vital Statistics final landing page,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei22/,data/raw/mhlw/2022_vital_statistics_final_page.html,text/html,Landing-page snapshot linking final tables,770039da9180411eaab53fa35adfe49c6e15f33eeacb0794f2d75617912aa497,13868,RAW_OFFICIAL_METADATA
MHLW-VITAL-2022-T1,"Ministry of Health, Labour and Welfare",2022 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei22/dl/03_h1.pdf,data/raw/mhlw/2022_vital_table1.pdf,application/pdf,Table 1; births 2022 and prior-year 2021,a69db48d693463449e35ef436b9ec08a75f35664fadf4fb5860379d7e4faa59b,75646,RAW_OFFICIAL
MHLW-VITAL-2022-T2,"Ministry of Health, Labour and Welfare",2022 Vital Statistics final - Table 2-1 annual trend,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei22/dl/04_h2-1.pdf,data/raw/mhlw/2022_vital_trend_table2_1.pdf,application/pdf,Table 2-1; 2020-2022 annual trend,81241fb3a5211229b37024a645e6341045896cf5a16096305fb338e90d7a59cd,128145,RAW_OFFICIAL
MHLW-VITAL-2024-PAGE,"Ministry of Health, Labour and Welfare",2024 Vital Statistics final landing page,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/,data/raw/mhlw/2024_vital_statistics_final_page.html,text/html,Landing-page snapshot linking final tables,845451e86fbc4252d67cad6c2561e65ee5786130699a50f0748b501d4b6909eb,14035,RAW_OFFICIAL_METADATA
MHLW-VITAL-2024-T1,"Ministry of Health, Labour and Welfare",2024 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf,data/raw/mhlw/2024_vital_table1.pdf,application/pdf,Table 1; births/deaths 2024 and prior-year 2023,d89fd0b59195c2d6943306485472ae553a6cf1a92dd0236c6d93a5a18a545ecc,364190,RAW_OFFICIAL
MHLW-VITAL-2024-T2,"Ministry of Health, Labour and Welfare",2024 Vital Statistics final - Table 2 annual trend,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/04_h2.pdf,data/raw/mhlw/2024_vital_trend_table2.pdf,application/pdf,Table 2 annual trend,db3394548d4ac1e4715297d8bd04e80800c6440fdc9952414edfd87b914384a8,1439880,RAW_OFFICIAL
MHLW-VITAL-2024-ANNUAL-PAGE,"Ministry of Health, Labour and Welfare",2024 Vital Statistics annual-summary landing page,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/geppo/nengai24/,data/raw/mhlw/2024_vital_statistics_annual_summary_page.html,text/html,Landing-page snapshot; comparison only when final data are unavailable,56fd5dff80ae5e07d7a7a0ca9c2d1537b0797a5df43f7266ad7ae5379e6c7d32,12170,RAW_OFFICIAL_METADATA
MHLW-VITAL-2024-ANNUAL-T1,"Ministry of Health, Labour and Welfare",2024 Vital Statistics annual-summary Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/geppo/nengai24/dl/h1.pdf,data/raw/mhlw/2024_annual_vital_table1.pdf,application/pdf,Annual-summary Table 1; retained for provenance comparison,f12d0c4a0cf2ce609e3334a7ade1134e0a68c2a2b222994f0442d50096cfe8f7,199286,RAW_OFFICIAL
