parameter_group,rule_id,lower_yen_inclusive,upper_yen_exclusive,formula,rate,quick_deduction_yen,constant_yen,source_id,source_locator,source_sha256,status,note
employment_income,E6,1624000,1628000,constant,,,1074000,NTA-2024-FILING-GUIDE-SALARY,"1,624,000-1,627,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E7,1628000,1800000,floor(gross/4000)*2400+100000,,,,NTA-2024-FILING-GUIDE-SALARY,"1,628,000-1,799,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E8,1800000,3600000,floor(gross/4000)*2800-80000,,,,NTA-2024-FILING-GUIDE-SALARY,"1,800,000-3,599,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E9,3600000,6600000,floor(gross/4000)*3200-440000,,,,NTA-2024-FILING-GUIDE-SALARY,"3,600,000-6,599,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E10,6600000,8500000,gross*0.90-1100000,,,,NTA-2024-FILING-GUIDE-SALARY,"6,600,000-8,499,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E11,8500000,,gross-1950000,,,,NTA-2024-FILING-GUIDE-SALARY,"8,500,000円以上",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU1,0,1300000,gross-600000,,,,NTA-2024-FILING-GUIDE-PENSION,"公的年金等の雑所得 / 非年金所得1,000万円以下 / first band",3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU2,1300000,4100000,gross*0.75-275000,,,,NTA-2024-FILING-GUIDE-PENSION,公的年金等の雑所得 / 0.75 band,3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU3,4100000,7700000,gross*0.85-685000,,,,NTA-2024-FILING-GUIDE-PENSION,公的年金等の雑所得 / 0.85 band,3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU4,7700000,10000000,gross*0.95-1455000,,,,NTA-2024-FILING-GUIDE-PENSION,公的年金等の雑所得 / 0.95 band,3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU5,10000000,,gross-1955000,,,,NTA-2024-FILING-GUIDE-PENSION,"公的年金等の雑所得 / 1,000万円以上",3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P651,0,3300000,gross-1100000,,,,NTA-2024-FILING-GUIDE-PENSION,"公的年金等の雑所得 / 非年金所得1,000万円以下 / first band",3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P652,3300000,4100000,gross*0.75-275000,,,,NTA-2024-FILING-GUIDE-PENSION,公的年金等の雑所得 / 0.75 band,3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P653,4100000,7700000,gross*0.85-685000,,,,NTA-2024-FILING-GUIDE-PENSION,公的年金等の雑所得 / 0.85 band,3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P654,7700000,10000000,gross*0.95-1455000,,,,NTA-2024-FILING-GUIDE-PENSION,公的年金等の雑所得 / 0.95 band,3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P655,10000000,,gross-1955000,,,,NTA-2024-FILING-GUIDE-PENSION,"公的年金等の雑所得 / 1,000万円以上",3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_other_income_adjustment,PA1,10000001,20000001,add_to_pension_income,,,100000,NTA-2024-FILING-GUIDE-PENSION,"非年金所得1,000万円超2,000万円以下: calculated income +100,000円",3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
pension_other_income_adjustment,PA2,20000001,,add_to_pension_income,,,200000,NTA-2024-FILING-GUIDE-PENSION,"非年金所得2,000万円超: calculated income +200,000円",3f90eff49123914b6aa720e99fc29dff4d6495634a8adde7629783c953495355,VERIFIED_OFFICIAL_RULE,
dependent_deduction,D_GENERAL,,,constant,,,380000,NTA-2024-FILING-GUIDE-DEPENDENT,一般の控除対象扶養親族 38万円,d6ad3d93b756662b040a83cb97562213561400cf1c0e91375d727196a2e91e4e,VERIFIED_OFFICIAL_RULE,
dependent_deduction,D_SPECIFIED,,,constant,,,630000,NTA-2024-FILING-GUIDE-DEPENDENT,特定扶養親族 63万円,d6ad3d93b756662b040a83cb97562213561400cf1c0e91375d727196a2e91e4e,VERIFIED_OFFICIAL_RULE,
dependent_deduction,D_ELDERLY_OTHER,,,constant,,,480000,NTA-2024-FILING-GUIDE-DEPENDENT,同居老親等以外の老人扶養親族 48万円,d6ad3d93b756662b040a83cb97562213561400cf1c0e91375d727196a2e91e4e,VERIFIED_OFFICIAL_RULE,
dependent_deduction,D_ELDERLY_CORESIDENT,,,constant,,,580000,NTA-2024-FILING-GUIDE-DEPENDENT,同居老親等 58万円,d6ad3d93b756662b040a83cb97562213561400cf1c0e91375d727196a2e91e4e,VERIFIED_OFFICIAL_RULE,
